DATE,CO2 Concentration,Global Temperature Anomalies,Arctic Sea Ice Extent,Drought Severity Index,Sea Level Rise,Wildfire Burn Area
15-Apr,400.96,-0.047,13.89,,49.42,16.18
15-May,400.91,0.035,12.47,,47.04,15.56
15-Jun,400.06,0.071,10.88,,48.79,27.08
15-Jul,398.38,0.024,8.38,,49.02,44.01
15-Aug,397.07,0.077,5.6,,51.01,51.4
15-Sep,397.34,0.145,4.62,,53.49,46.82
15-Oct,398.8,0.242,6.97,,54.09,34.56
15-Nov,400.36,0.13,9.85,,53.06,39.12
15-Dec,401.66,0.308,12.04,,53.36,40.02
16-Jan,402.64,0.327,13.46,,48.03,45.98
16-Feb,403.27,0.454,14.2,,52.28,17.46
16-Mar,403.86,0.468,14.4,,54.89,9.65
16-Apr,404.39,0.402,13.68,,53.88,13.42
16-May,404.45,0.277,11.92,,52.17,16.7
16-Jun,403.66,0.261,10.41,,53.965,27.39
16-Jul,402.11,0.293,7.94,,52.38,38.34
16-Aug,400.8,0.292,5.37,,49.855,45.99
16-Sep,400.99,0.268,4.53,,53.595,38.21
16-Oct,402.42,0.218,6.08,,49.78,30.86
16-Nov,403.78,0.308,8.66,,52.05,35.08
16-Dec,404.69,0.208,11.46,,55.09,45.65
17-Jan,405.33,0.292,13.19,,51.83,25.37
17-Feb,405.91,0.361,14.12,,50.94,17.82
17-Mar,406.32,0.378,14.29,,52.98,13.95
17-Apr,406.6,0.162,13.75,,55.08,13.06
17-May,406.64,0.216,12.63,,53.36,16.51
17-Jun,405.85,0.154,10.76,,52.74,25.95
17-Jul,404.11,0.214,7.94,,53.67,39.02
17-Aug,402.57,0.169,5.48,,54.08,46.99
17-Sep,402.66,0.142,4.82,,55.76,57.93
17-Oct,404.16,0.141,6.77,,53.04,37.93
17-Nov,405.7,0.078,9.49,,57.57,34.46
17-Dec,406.75,0.191,11.74,,57.18,47.62
18-Jan,407.56,0.156,13.08,,54.66,26.84
18-Feb,408.24,0.155,13.97,,57.51,17.95
18-Mar,408.77,0.108,14.3,,55.67,16.82
18-Apr,409.08,0.15,13.7,,53.37,15.97
18-May,408.94,0.056,12.23,,55.59,14.39
18-Jun,408.06,0.1,10.78,,55.84,22.25
18-Jul,406.47,0.081,8.27,,55.56,34.95
18-Aug,405.1,0.023,5.61,,56.11,45.32
18-Sep,405.17,0.021,4.79,,56.33,45.09
18-Oct,406.65,0.209,6.13,,61.26,30.17
18-Nov,408.13,-0.01,9.82,,58.83,41.08
18-Dec,409.18,0.153,11.86,,57.59,42.25
19-Jan,409.92,0.228,13.57,,57.09,31.72
19-Feb,410.34,0.296,14.39,,61.98,19.13
19-Mar,410.89,0.41,14.57,,61.11,15.69
19-Apr,411.33,0.308,13.43,,61.55,12.76
19-May,411.34,0.247,12.19,,65.33,14.23
19-Jun,410.53,0.366,10.59,,60.33,30.37
19-Jul,408.88,0.384,7.59,,65.34,47.13
19-Aug,407.64,0.251,5.03,,62.67,47.29
19-Sep,407.92,0.325,4.36,,64.95,41.41
19-Oct,409.44,0.397,5.73,,62.38,22.33
19-Nov,410.87,0.298,9.35,,61.93,25.89
19-Dec,411.76,0.412,11.9,,63.5,36.71
20-Jan,412.43,0.323,13.64,,61.13,37.27
20-Feb,412.95,0.311,14.64,,68.19,25.64
20-Mar,413.44,0.276,14.73,,64.73,18.74
20-Apr,413.86,0.326,13.62,,66.65,14.92
20-May,413.81,0.286,12.34,,65.56,13.85
20-Jun,412.88,0.33,10.59,,67.52,24.17
20-Jul,411.17,0.323,7.29,,65.62,40.99
20-Aug,409.73,0.292,5.07,,66.83,36.36
20-Sep,410,0.242,4,,66.38,51.03
20-Oct,411.66,0.163,5.33,,66.91,29.59
20-Nov,413.25,0.304,8.99,,69.55,26.4
20-Dec,414.14,0.08,11.73,,67.78,31.06
21-Jan,414.74,0.168,13.5,,67.295,31.34
21-Feb,415.2,0.126,14.39,,70.525,20.15
21-Mar,415.49,0.076,14.66,,64.83,14.91
21-Apr,415.81,0.098,13.79,,72.125,12.48
21-May,416.01,0.12,12.68,,69.86,14.06
21-Jun,415.2,0.184,10.77,,67.535,24.89
21-Jul,413.45,0.229,7.65,,71.74,43.95
21-Aug,412.15,0.126,5.71,,73,49.54
21-Sep,412.38,0.101,4.95,,69.87,43.9
21-Oct,413.83,-0.086,6.82,,73.175,32.16
21-Nov,415.58,-0.097,9.83,,71.075,30.64
21-Dec,416.6,0.017,12.15,,74.755,34.32
22-Jan,417.18,0.087,13.87,,69.67,35.58
22-Feb,417.64,0.052,14.61,,71.65,18.7
22-Mar,418.16,0.145,14.59,,69.795,13.42
22-Apr,418.58,0.072,13.99,,73.43,14.62
22-May,418.45,-0.073,12.88,,72.58,13.55
22-Jun,417.43,0.084,10.88,,70.54,22.83
22-Jul,415.67,-0.008,8.29,,74.75,30.91
22-Aug,414.4,-0.053,5.95,,69.09,45.81
22-Sep,414.62,-0.096,4.9,,74.3,42.02
22-Oct,416.13,0.069,6.66,,74.17,36.29
22-Nov,417.84,-0.428,9.73,,76.7,23.7
22-Dec,418.92,-0.121,11.89,,69.62,33.19
23-Jan,419.37,-0.046,13.35,,76.5,28.36
23-Feb,419.65,0.074,14.18,,74.95,23.57
23-Mar,419.99,0.311,14.44,,77.62,13.78
23-Apr,420.5,0.065,13.99,,72.95,14.18
23-May,420.57,0.004,12.83,,75.9,19.46
23-Jun,419.58,0.211,10.96,,77.24,26.46
23-Jul,417.91,0.329,8.18,,79.38,40.94
23-Aug,416.76,0.285,5.57,,79.47,46.82
23-Sep,417.16,0.403,4.37,,81.48,46.63
23-Oct,418.84,0.294,6.37,,81.43,53.33
23-Nov,420.4,0.231,9.66,,82.35,35.15
23-Dec,421.52,0.357,12,,77.7,34.77
24-Jan,422.25,0.34,13.92,,83.73,
24-Feb,422.81,0.514,14.61,,79.63,
24-Mar,423.39,0.398,14.87,,84.32,
24-Apr,423.87,0.285,14.12,,81.8,
24-May,423.94,0.222,12.78,,82.42,
24-Jun,423.22,0.286,10.9,,82.6,
24-Jul,421.59,0.247,7.89,,82.66,
24-Aug,420.21,0.21,5.21,,75.82,
24-Sep,420.53,0.15,4.38,,80.09,
24-Oct,422.34,0.106,5.94,,79.15,
24-Nov,424.07,-0.012,9.11,,79.53,
24-Dec,425.23,0.078,11.42,,81.23,
25-Jan,426.03,0.295,13.13,,83.6,
25-Feb,,0.186,13.75,,82.01,
25-Mar,,0.2,14.14,,,
